,club name,country,points
20,Pohang Steelers,"<a class=""sm_logo-name"" href=""/ranking/south-korea/1"" style=""background-image: url(/logos/flags/16/KOR.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in South Korea"">South Korea</a>","<td class=""rank"">1490</td>"
21,Al Ahli,"<a class=""sm_logo-name"" href=""/ranking/united-arab-emirates/1"" style=""background-image: url(/logos/flags/16/UAE.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in United Arab Emirates"">United Arab Emirates</a>","<td class=""rank"">1484</td>"
22,Jiangsu Suning FC,"<a class=""sm_logo-name"" href=""/ranking/china-pr/1"" style=""background-image: url(/logos/flags/16/CHN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in China PR"">China PR</a>","<td class=""rank"">1481</td>"
23,Sanfrecce Hiroshima,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1472</td>"
24,Al Wahda,"<a class=""sm_logo-name"" href=""/ranking/united-arab-emirates/1"" style=""background-image: url(/logos/flags/16/UAE.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in United Arab Emirates"">United Arab Emirates</a>","<td class=""rank"">1460</td>"
25,Nagoya Grampus Eight,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1458</td>"
26,Bangkok United,"<a class=""sm_logo-name"" href=""/ranking/thailand/1"" style=""background-image: url(/logos/flags/16/THA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Thailand"">Thailand</a>","<td class=""rank"">1456</td>"
27,Cerezo Osaka,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1452</td>"
28,Nasaf Qarshi,"<a class=""sm_logo-name"" href=""/ranking/uzbekistan/1"" style=""background-image: url(/logos/flags/16/UZB.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Uzbekistan"">Uzbekistan</a>","<td class=""rank"">1452</td>"
29,AL Ahed,"<a class=""sm_logo-name"" href=""/ranking/lebanon/1"" style=""background-image: url(/logos/flags/16/LIB.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Lebanon"">Lebanon</a>","<td class=""rank"">1450</td>"
30,Vissel Kobe,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1446</td>"
31,GOL Gohar Sirjan FC,"<a class=""sm_logo-name"" href=""/ranking/iran/1"" style=""background-image: url(/logos/flags/16/IRN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Iran"">Iran</a>","<td class=""rank"">1446</td>"
32,Daegu FC,"<a class=""sm_logo-name"" href=""/ranking/south-korea/1"" style=""background-image: url(/logos/flags/16/KOR.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in South Korea"">South Korea</a>","<td class=""rank"">1443</td>"
33,Muangthong United,"<a class=""sm_logo-name"" href=""/ranking/thailand/1"" style=""background-image: url(/logos/flags/16/THA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Thailand"">Thailand</a>","<td class=""rank"">1443</td>"
34,BG Pathum United,"<a class=""sm_logo-name"" href=""/ranking/thailand/1"" style=""background-image: url(/logos/flags/16/THA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Thailand"">Thailand</a>","<td class=""rank"">1436</td>"
35,Al-Wehdat SC,"<a class=""sm_logo-name"" href=""/ranking/jordan/1"" style=""background-image: url(/logos/flags/16/JOR.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Jordan"">Jordan</a>","<td class=""rank"">1435</td>"
36,Foolad Khuzestan,"<a class=""sm_logo-name"" href=""/ranking/iran/1"" style=""background-image: url(/logos/flags/16/IRN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Iran"">Iran</a>","<td class=""rank"">1433</td>"
37,Wuhan Three Towns F.C.,"<a class=""sm_logo-name"" href=""/ranking/china-pr/1"" style=""background-image: url(/logos/flags/16/CHN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in China PR"">China PR</a>","<td class=""rank"">1432</td>"
38,Dempo SC,"<a class=""sm_logo-name"" href=""/ranking/india/1"" style=""background-image: url(/logos/flags/16/IND.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in India"">India</a>","<td class=""rank"">1430</td>"
39,El Jaish (Doha),"<a class=""sm_logo-name"" href=""/ranking/qatar/1"" style=""background-image: url(/logos/flags/16/QAT.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Qatar"">Qatar</a>","<td class=""rank"">1427</td>"
40,FC Tokyo,"<a class=""sm_logo-name"" href=""/ranking/japan/1"" style=""background-image: url(/logos/flags/16/JPN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Japan"">Japan</a>","<td class=""rank"">1426</td>"
41,Beijing Guoan,"<a class=""sm_logo-name"" href=""/ranking/china-pr/1"" style=""background-image: url(/logos/flags/16/CHN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in China PR"">China PR</a>","<td class=""rank"">1424</td>"
42,Melbourne City FC,"<a class=""sm_logo-name"" href=""/ranking/australia/1"" style=""background-image: url(/logos/flags/16/AUS.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Australia"">Australia</a>","<td class=""rank"">1423</td>"
43,Al Taawon,"<a class=""sm_logo-name"" href=""/ranking/saudi-arabia/1"" style=""background-image: url(/logos/flags/16/KSA.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Saudi Arabia"">Saudi Arabia</a>","<td class=""rank"">1418</td>"
44,Jeju United,"<a class=""sm_logo-name"" href=""/ranking/south-korea/1"" style=""background-image: url(/logos/flags/16/KOR.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in South Korea"">South Korea</a>","<td class=""rank"">1417</td>"
45,Tractor Sazi,"<a class=""sm_logo-name"" href=""/ranking/iran/1"" style=""background-image: url(/logos/flags/16/IRN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Iran"">Iran</a>","<td class=""rank"">1416</td>"
46,Sharjah Cultural Club,"<a class=""sm_logo-name"" href=""/ranking/united-arab-emirates/1"" style=""background-image: url(/logos/flags/16/UAE.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in United Arab Emirates"">United Arab Emirates</a>","<td class=""rank"">1414</td>"
47,ATK Mohun Bagan FC,"<a class=""sm_logo-name"" href=""/ranking/india/1"" style=""background-image: url(/logos/flags/16/IND.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in India"">India</a>","<td class=""rank"">1411</td>"
48,Mahindra United,"<a class=""sm_logo-name"" href=""/ranking/india/1"" style=""background-image: url(/logos/flags/16/IND.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in India"">India</a>","<td class=""rank"">1408</td>"
49,Mes Rafsanjan,"<a class=""sm_logo-name"" href=""/ranking/iran/1"" style=""background-image: url(/logos/flags/16/IRN.png); padding-left: 20px;background-position: 0;line-height: 18px"" title=""Ranking of football / soccer clubs in Iran"">Iran</a>","<td class=""rank"">1406</td>"
